model,scope,symptom,prevalence,threshold,precision,recall,f1,average_precision
mlp,development_oof,sinus_headache,0.0303714859437751,0.05,0.03305785123966942,0.1322314049586777,0.05289256198347107,0.04649217016708929
mlp,development_oof,facial_pain,0.035140562248995984,0.08000000000000002,0.04513064133016627,0.40714285714285714,0.08125445473984319,0.039985786700054815
mlp,development_oof,shortness_of_breath,0.03263052208835342,0.07,0.0416367552045944,0.4461538461538462,0.07616546290216678,0.034570178112964686
mlp,development_oof,reduced_smell_and_taste,0.03413654618473896,0.07,0.04442771084337349,0.4338235294117647,0.08060109289617487,0.0490854522457647
mlp,development_oof,skin_irritation,0.0321285140562249,0.08000000000000002,0.035963499731615674,0.5234375,0.06730286288297338,0.03246622630734275
mlp,development_oof,itchiness,0.028363453815261043,0.26000000000000006,0.03302911777488049,0.672566371681416,0.06296603148301574,0.02930806438428618
mlp,development_oof,throbbing_headache,0.038654618473895584,0.07,0.04130747126436782,0.7467532467532467,0.07828454731109598,0.03970889006491605
mlp,development_oof,confusion,0.06626506024096386,0.11000000000000001,0.07753335737468446,0.8143939393939394,0.1415870925255186,0.07517298443290574
mlp,development_oof,back_pain,0.035140562248995984,0.07,0.03884711779448621,0.22142857142857142,0.06609808102345416,0.03609049836046806
mlp,development_oof,knee_ache,0.03890562248995984,0.05,0.04104803493449782,0.3032258064516129,0.07230769230769231,0.04021539800365058
mlp,locked_test,nausea,0.15646940822467403,0.060000000000000005,0.16205533596837945,0.7884615384615384,0.26885245901639343,0.15890069192029113
mlp,locked_test,joint_pain,0.0641925777331996,0.12000000000000001,0.06534954407294832,0.671875,0.11911357340720222,0.08177829637757639
